x, y
-0.979292524938, -1.14
-0.978962053759, -1.136
-0.978626365534, -1.132
-0.978285379733, -1.128
-0.977939014645, -1.124
-0.977587187356, -1.12
-0.97722981374, -1.116
-0.976866808439, -1.112
-0.976498084845, -1.108
-0.976123555092, -1.104
-0.975743130031, -1.1
-0.97535671922, -1.096
-0.974964230902, -1.092
-0.974565571993, -1.088
-0.974160648065, -1.084
-0.973749363326, -1.08
-0.973331620605, -1.076
-0.972907321334, -1.072
-0.972476365535, -1.068
-0.972038651795, -1.064
-0.971594077255, -1.06
-0.971142537589, -1.056
-0.970683926989, -1.052
-0.970218138145, -1.048
-0.969745062227, -1.044
-0.969264588869, -1.04
-0.968776606151, -1.036
-0.968281000576, -1.032
-0.967777657059, -1.028
-0.967266458903, -1.024
-0.966747287784, -1.02
-0.966220023731, -1.016
-0.965684545107, -1.012
-0.965140728592, -1.008
-0.964588449163, -1.004
-0.964027580076, -1.0
-0.963457992846, -0.996
-0.96287955723, -0.992
-0.962292141208, -0.988
-0.961695610964, -0.984
-0.961089830864, -0.98
-0.960474663442, -0.976
-0.959849969379, -0.972
-0.959215607484, -0.968
-0.958571434674, -0.964
-0.957917305959, -0.96
-0.957253074419, -0.956
-0.956578591186, -0.952
-0.95589370543, -0.948
-0.955198264332, -0.944
-0.954492113074, -0.94
-0.953775094816, -0.936
-0.953047050676, -0.932
-0.952307819718, -0.928
-0.951557238927, -0.924
-0.950795143195, -0.92
-0.950021365302, -0.916
-0.949235735901, -0.912
-0.948438083494, -0.908
-0.947628234423, -0.904
-0.946806012846, -0.9
-0.945971240724, -0.896
-0.945123737803, -0.892
-0.944263321599, -0.888
-0.943389807378, -0.884
-0.942503008147, -0.88
-0.941602734632, -0.876
-0.940688795265, -0.872
-0.939760996173, -0.868
-0.938819141156, -0.864
-0.937863031681, -0.86
-0.936892466861, -0.856
-0.935907243447, -0.852
-0.934907155815, -0.848
-0.93389199595, -0.844
-0.932861553437, -0.84
-0.931815615451, -0.836
-0.930753966742, -0.832
-0.92967638963, -0.828
-0.928582663991, -0.824
-0.927472567251, -0.82
-0.926345874377, -0.816
-0.925202357869, -0.812
-0.924041787754, -0.808
-0.922863931579, -0.804
-0.921668554406, -0.8
-0.920455418809, -0.796
-0.919224284865, -0.792
-0.917974910161, -0.788
-0.916707049782, -0.784
-0.915420456316, -0.78
-0.914114879852, -0.776
-0.912790067981, -0.772
-0.911445765799, -0.768
-0.910081715911, -0.764
-0.908697658431, -0.76
-0.907293330993, -0.756
-0.905868468754, -0.752
-0.904422804402, -0.748
-0.902956068167, -0.744
-0.901467987832, -0.74
-0.89995828874, -0.736
-0.898426693813, -0.732
-0.896872923564, -0.728
-0.895296696113, -0.724
-0.893697727204, -0.72
-0.892075730227, -0.716
-0.890430416237, -0.712
-0.888761493977, -0.708
-0.887068669901, -0.704
-0.885351648202, -0.7
-0.88361013084, -0.696
-0.88184381757, -0.692
-0.880052405973, -0.688
-0.878235591494, -0.684
-0.876393067473, -0.68
-0.874524525185, -0.676
-0.872629653878, -0.672
-0.870708140819, -0.668
-0.868759671332, -0.664
-0.86678392885, -0.66
-0.864780594961, -0.656
-0.86274934946, -0.652
-0.860689870401, -0.648
-0.858601834157, -0.644
-0.856484915472, -0.64
-0.85433878753, -0.636
-0.852163122012, -0.632
-0.849957589165, -0.628
-0.847721857873, -0.624
-0.845455595727, -0.62
-0.843158469098, -0.616
-0.840830143219, -0.612
-0.838470282263, -0.608
-0.836078549425, -0.604
-0.833654607012, -0.6
-0.831198116531, -0.596
-0.82870873878, -0.592
-0.826186133947, -0.588
-0.82362996171, -0.584
-0.821039881333, -0.58
-0.818415551778, -0.576
-0.815756631813, -0.572
-0.813062780122, -0.568
-0.81033365542, -0.564
-0.807568916579, -0.56
-0.80476822274, -0.556
-0.801931233451, -0.552
-0.799057608785, -0.548
-0.796147009482, -0.544
-0.793199097084, -0.54
-0.790213534069, -0.536
-0.787189984005, -0.532
-0.78412811169, -0.528
-0.781027583307, -0.524
-0.777888066577, -0.52
-0.774709230918, -0.516
-0.771490747609, -0.512
-0.768232289952, -0.508
-0.764933533446, -0.504
-0.761594155956, -0.5
-0.758213837892, -0.496
-0.75479226239, -0.492
-0.751329115493, -0.488
-0.747824086342, -0.484
-0.744276867362, -0.48
-0.740687154462, -0.476
-0.73705464723, -0.472
-0.733379049133, -0.468
-0.729660067724, -0.464
-0.725897414849, -0.46
-0.722090806856, -0.456
-0.718239964813, -0.452
-0.714344614721, -0.448
-0.710404487737, -0.444
-0.706419320397, -0.44
-0.70238885484, -0.436
-0.698312839037, -0.432
-0.694191027024, -0.428
-0.690023179133, -0.424
-0.685809062229, -0.42
-0.681548449948, -0.416
-0.677241122938, -0.412
-0.672886869099, -0.408
-0.668485483829, -0.404
-0.664036770268, -0.4
-0.659540539545, -0.396
-0.654996611028, -0.392
-0.65040481257, -0.388
-0.645764980763, -0.384
-0.641076961185, -0.38
-0.636340608657, -0.376
-0.631555787486, -0.372
-0.626722371726, -0.368
-0.621840245426, -0.364
-0.616909302877, -0.36
-0.611929448871, -0.356
-0.606900598945, -0.352
-0.601822679631, -0.348
-0.596695628706, -0.344
-0.591519395432, -0.34
-0.586293940807, -0.336
-0.581019237802, -0.332
-0.575695271603, -0.328
-0.570322039845, -0.324
-0.564899552846, -0.32
-0.559427833841, -0.316
-0.553906919204, -0.312
-0.548336858672, -0.308
-0.542717715565, -0.304
-0.537049566998, -0.3
-0.531332504092, -0.296
-0.525566632174, -0.292
-0.519752070982, -0.288
-0.513888954849, -0.284
-0.507977432898, -0.28
-0.502017669214, -0.276
-0.496009843023, -0.272
-0.489954148854, -0.268
-0.483850796701, -0.264
-0.477700012168, -0.26
-0.47150203662, -0.256
-0.465257127309, -0.252
-0.458965557503, -0.248
-0.452627616603, -0.244
-0.446243610249, -0.24
-0.439813860415, -0.236
-0.433338705503, -0.232
-0.426818500412, -0.228
-0.420253616609, -0.224
-0.413644442187, -0.22
-0.406991381904, -0.216
-0.400294857219, -0.212
-0.393555306317, -0.208
-0.386773184113, -0.204
-0.379948962255, -0.2
-0.373083129108, -0.196
-0.366176189724, -0.192
-0.35922866581, -0.188
-0.352241095669, -0.184
-0.345214034136, -0.18
-0.338148052503, -0.176
-0.331043738424, -0.172
-0.323901695813, -0.168
-0.316722544722, -0.164
-0.309506921213, -0.16
-0.302255477207, -0.156
-0.294968880331, -0.152
-0.287647813742, -0.148
-0.280292975938, -0.144
-0.272905080563, -0.14
-0.265484856189, -0.136
-0.258033046089, -0.132
-0.250550407998, -0.128
-0.243037713855, -0.124
-0.235495749538, -0.12
-0.227925314583, -0.116
-0.220327221886, -0.112
-0.2127022974, -0.108
-0.205051379816, -0.104
-0.197375320225, -0.1
-0.18967498178, -0.096
-0.181951239337, -0.092
-0.174204979084, -0.088
-0.166437098168, -0.084
-0.158648504297, -0.08
-0.150840115345, -0.076
-0.143012858935, -0.072
-0.13516767202, -0.068
-0.127305500451, -0.064
-0.119427298534, -0.06
-0.111534028585, -0.056
-0.103626660466, -0.052
-0.0957061711233, -0.048
-0.0877735441106, -0.044
-0.0798297691111, -0.04
-0.0718758414488, -0.036
-0.0639127615953, -0.032
-0.0559415346711, -0.028
-0.0479631699422, -0.024
-0.0399786803112, -0.02
-0.0319890818054, -0.016
-0.0239953930614, -0.012
-0.0159986348065, -0.008
-0.0079998293377, -0.004
0.0, 0.0
0.0079998293377, 0.004
0.0159986348065, 0.008
0.0239953930614, 0.012
0.0319890818054, 0.016
0.0399786803112, 0.02
0.0479631699422, 0.024
0.0559415346711, 0.028
0.0639127615953, 0.032
0.0718758414488, 0.036
0.0798297691111, 0.04
0.0877735441106, 0.044
0.0957061711233, 0.048
0.103626660466, 0.052
0.111534028585, 0.056
0.119427298534, 0.06
0.127305500451, 0.064
0.13516767202, 0.068
0.143012858935, 0.072
0.150840115345, 0.076
0.158648504297, 0.08
0.166437098168, 0.084
0.174204979084, 0.088
0.181951239337, 0.092
0.18967498178, 0.096
0.197375320225, 0.1
0.205051379816, 0.104
0.2127022974, 0.108
0.220327221886, 0.112
0.227925314583, 0.116
0.235495749538, 0.12
0.243037713855, 0.124
0.250550407998, 0.128
0.258033046089, 0.132
0.265484856189, 0.136
0.272905080563, 0.14
0.280292975938, 0.144
0.287647813742, 0.148
0.294968880331, 0.152
0.302255477207, 0.156
0.309506921213, 0.16
0.316722544722, 0.164
0.323901695813, 0.168
0.331043738424, 0.172
0.338148052503, 0.176
0.345214034136, 0.18
0.352241095669, 0.184
0.35922866581, 0.188
0.366176189724, 0.192
0.373083129108, 0.196
0.379948962255, 0.2
0.386773184113, 0.204
0.393555306317, 0.208
0.400294857219, 0.212
0.406991381904, 0.216
0.413644442187, 0.22
0.420253616609, 0.224
0.426818500412, 0.228
0.433338705503, 0.232
0.439813860415, 0.236
0.446243610249, 0.24
0.452627616603, 0.244
0.458965557503, 0.248
0.465257127309, 0.252
0.47150203662, 0.256
0.477700012168, 0.26
0.483850796701, 0.264
0.489954148854, 0.268
0.496009843023, 0.272
0.502017669214, 0.276
0.507977432898, 0.28
0.513888954849, 0.284
0.519752070982, 0.288
0.525566632174, 0.292
0.531332504092, 0.296
0.537049566998, 0.3
0.542717715565, 0.304
0.548336858672, 0.308
0.553906919204, 0.312
0.559427833841, 0.316
0.564899552846, 0.32
0.570322039845, 0.324
0.575695271603, 0.328
0.581019237802, 0.332
0.586293940807, 0.336
0.591519395432, 0.34
0.596695628706, 0.344
0.601822679631, 0.348
0.606900598945, 0.352
0.611929448871, 0.356
0.616909302877, 0.36
0.621840245426, 0.364
0.626722371726, 0.368
